EID,type,material,stress_landing,stress_taxi,stress_lateral,stress_vertical,stress_pressurization,life,log_life
1,skin,1,-0.160388,-0.148503,1.804565,1.24634,2.832018,58204.45143525,4.764956200454657
2,skin,2,11.40372,4.825349,11.83136,12.24992,9.349614,3.7729881410375,0.5766854401625463
3,skin,2,11.49012,4.799707,10.22018,10.51033,8.728369,10.5341425623375,1.0225991915245518
4,skin,2,11.79638,4.957905,10.90236,10.82325,7.964283,7.24389824,0.8599723408528315
5,skin,2,10.87726,4.495966,10.18777,10.85074,8.749962,7.8706708546,0.8960117509148563
6,skin,2,12.04096,4.989438,11.2724,12.42691,8.466211,3.967819991475,0.5985519612436324
7,skin,2,10.13222,4.152153,9.66084,10.82732,9.074731,8.9389675647625,0.951287361433593
8,skin,2,11.32024,4.637455,11.45687,12.55137,8.815683,3.799708662875,0.5797502989967471
9,skin,2,10.37811,4.185674,11.91482,12.39485,10.81365,3.76098730355,0.5753018673209681
10,skin,2,11.15407,4.490624,12.58342,13.0424,10.01365,2.965571104625,0.4721083414450803
11,skin,2,9.898782,3.909651,11.30849,12.33183,10.7938,4.1040085078,0.6132082524172986
12,skin,2,10.87909,4.250699,12.91239,13.86551,10.41972,2.2809014621875,0.35810652361395634
13,skin,2,9.336932,3.606232,11.33803,11.61102,10.38063,5.4776019487,0.7385904693629695
14,skin,2,10.40213,3.961701,12.62314,13.05623,10.16521,2.9747436605125,0.4734495476708195
15,skin,2,9.029346,3.415062,11.70872,11.26748,10.2433,6.5007836212375,0.8129657107762178
16,skin,2,10.2647,3.811996,12.7603,12.37939,9.832411,3.93881291535,0.5953653532994427
17,skin,2,9.834234,3.503522,12.03498,11.31455,9.313719,6.76000111145,0.8299467673464528
18,skin,2,10.85773,3.6207,12.25091,12.28801,9.021877,4.5815521756125,0.6610126367597179
19,skin,2,9.162554,2.774692,11.87573,12.84232,11.43364,3.2887067228875,0.5170251461154801
20,skin,2,9.407375,2.770558,12.99859,13.36252,11.43889,2.546494425275,0.40594272976609225
21,skin,2,8.006433,2.299111,11.40596,11.91633,11.37614,4.2400637181,0.6273723830576621
22,skin,2,8.606223,2.238602,12.39869,12.58472,11.49564,3.19783734835,0.5048563704450858
23,skin,2,7.110533,1.649061,9.532441,9.940394,9.368522,11.29504941735,1.05288813535691
24,skin,2,6.649931,1.463511,10.2429,10.33758,9.733223,8.4259082990625,0.9256167282980857
25,skin,1,5.475342,1.134492,8.464203,7.266358,6.639028,62.61187736,1.7966567259040271
26,skin,1,5.238011,0.717604,8.130184,6.978873,6.637328,72.8195279805,1.8622478594904188
27,skin,1,3.178346,0.433788,7.963151,6.783112,7.094047,69.949024436375,1.8447816618606758
28,skin,1,2.131122,0.0782701,7.829584,6.429192,7.070248,78.91870905075,1.8971799724655913
29,skin,1,1.685176,-0.113432,7.360595,5.917222,6.150939,169.63790342,2.229522896310947
30,skin,1,0.853602,-0.215525,7.845625,5.351923,6.360338,128.972117385,2.110495829875229
31,skin,1,0.892697,0.0231701,6.255379,4.488077,5.154089,1034.6752978525,3.014804080734476
